entry_id,date,model_type,index,n_clusters,covariance_type,scaler,features_used,silhouette,db_index,bic,ks_stat,ks_pvalue,notes
1,2026-06-12,kmeans,all,2,na,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.320718,1.705379,na,na,na,kmeans_k2_all_markets
2,2026-06-12,kmeans,all,3,na,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.265651,1.64313,na,na,na,kmeans_k3_all_markets
3,2026-06-12,kmeans,all,4,na,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.216573,1.605344,na,na,na,kmeans_k4_all_markets
4,2026-06-12,kmeans,all,5,na,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.219248,1.587001,na,na,na,kmeans_k5_all_markets
5,2026-06-12,kmeans,all,6,na,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.180316,1.597511,na,na,na,kmeans_k6_all_markets
6,2026-06-12,gmm,all,2,full,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.289534,2.370192,135610.831,na,na,gmm_k2_full_all_markets
7,2026-06-12,gmm,all,2,tied,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.545363,1.340781,160900.379,na,na,gmm_k2_tied_all_markets
8,2026-06-12,gmm,all,2,diag,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.27128,2.159948,174153.12,na,na,gmm_k2_diag_all_markets
9,2026-06-12,gmm,all,3,full,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.121895,2.684365,127707.759,na,na,gmm_k3_full_all_markets
10,2026-06-12,gmm,all,3,tied,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.307872,1.564159,156732.276,na,na,gmm_k3_tied_all_markets
11,2026-06-12,gmm,all,3,diag,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.106732,2.607319,163121.844,na,na,gmm_k3_diag_all_markets
12,2026-06-12,gmm,all,4,full,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.114016,2.708191,118178.33,na,na,gmm_k4_full_all_markets
13,2026-06-12,gmm,all,4,tied,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.315321,1.494694,153757.6,na,na,gmm_k4_tied_all_markets
14,2026-06-12,gmm,all,4,diag,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.1246,2.338532,159859.1,na,na,gmm_k4_diag_all_markets
15,2026-06-12,gmm,all,5,full,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.069797,2.997906,112927.955,na,na,gmm_k5_full_all_markets
16,2026-06-12,gmm,all,5,tied,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.30918,1.419323,152211.473,na,na,gmm_k5_tied_all_markets
17,2026-06-12,gmm,all,5,diag,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.120598,2.338347,157780.384,na,na,gmm_k5_diag_all_markets
18,2026-06-12,gmm,all,6,full,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.019561,3.043361,109354.242,na,na,gmm_k6_full_all_markets
19,2026-06-12,gmm,all,6,tied,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.316638,1.413359,150716.311,na,na,gmm_k6_tied_all_markets
20,2026-06-12,gmm,all,6,diag,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.035595,2.353676,154309.422,na,na,gmm_k6_diag_all_markets
21,2026-06-12,gmm_selection,all,2,full,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.289534,2.370192,135610.83,na,na,model_selection_bic_vs_silhouette_k2
22,2026-06-12,gmm_selection,all,3,full,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.121895,2.684365,127707.76,na,na,model_selection_bic_vs_silhouette_k3
23,2026-06-12,gmm_selection,all,4,full,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.114016,2.708191,118178.33,na,na,model_selection_bic_vs_silhouette_k4
24,2026-06-12,gmm_selection,all,5,full,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.069797,2.997906,112927.95,na,na,model_selection_bic_vs_silhouette_k5
25,2026-06-12,gmm_selection,all,6,full,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.019561,3.043361,109354.24,na,na,model_selection_bic_vs_silhouette_k6
26,2026-06-12,gmm_selection,all,7,full,RobustScaler,"log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio",0.025762,3.000212,106399.87,na,na,model_selection_bic_vs_silhouette_k7
